num_pieces,signal,noise,snr
1,0.7590839910025204,0.29702672225157345,2.5556084154596608
2,1.0152182445937596,0.5825333351781399,1.7427642047013565
3,1.339516562332938,0.8699853599118937,1.5397001191705055
4,1.6440709486475646,1.1780557840077572,1.3955798791245855
5,1.9446887403154502,1.4771120082732956,1.316547918792387
6,2.2232952522909426,1.7857787556911808,1.2450003928008553
7,2.4853683636904202,2.0738392198041034,1.1984383070569908
8,2.7925883858646237,2.366646455333778,1.179977000608134
9,3.1745082365592108,2.675815934946265,1.1863701815584562
10,3.4655636363491844,2.958430694835775,1.1714195780887005
